twosides_drug_id,matched_drugbank_id,matched_drugbank_name,match_method
CID000003325,DB00927,Famotidine,PubChem CID
CID000004900,DB00635,Prednisone,Connectivity InChIKey
CID000004856,,,Unmatched
CID000122316,DB01367,Rasagiline,Connectivity InChIKey
CID000004054,DB01043,Memantine,PubChem CID
CID000003255,DB00199,Erythromycin,Connectivity InChIKey
CID000005077,DB00989,Rivastigmine,Connectivity InChIKey
CID000005095,DB00268,Ropinirole,PubChem CID
CID000003878,DB00555,Lamotrigine,PubChem CID
CID000004058,DB00454,Meperidine,PubChem CID
CID000002244,DB00945,Acetylsalicylic acid,PubChem CID
CID000054374,,,Unmatched
CID000060843,DB00642,Pemetrexed,Connectivity InChIKey
CID000160051,,,Unmatched
CID000002771,DB00215,Citalopram,PubChem CID
CID000005735,DB01198,Zopiclone,PubChem CID
CID000003279,DB00330,Ethambutol,Connectivity InChIKey
CID005311039,,,Unmatched
CID000004253,DB00295,Morphine,Connectivity InChIKey
CID000004497,DB00393,Nimodipine,PubChem CID
CID004659568,DB00494,Entacapone,Connectivity InChIKey
CID000005732,DB00425,Zolpidem,PubChem CID
CID000004499,DB00401,Nisoldipine,PubChem CID
CID000062924,DB13867,Fluticasone,Connectivity InChIKey
CID000000453,DB00742,Mannitol,Connectivity InChIKey
CID000000159,DB01240,Epoprostenol,Connectivity InChIKey
CID000005035,DB00481,Raloxifene,PubChem CID
CID000163742,DB00569,Fondaparinux,Connectivity InChIKey
CID000003419,DB00492,Fosinopril,Connectivity InChIKey
CID000443871,,,Unmatched
CID000002800,DB00882,Clomifene,PubChem CID
CID000002806,DB00758,Clopidogrel,Connectivity InChIKey
CID000005379,DB01044,Gatifloxacin,PubChem CID
CID000054688,DB01211,Clarithromycin,Connectivity InChIKey
CID000012536,DB01260,Desonide,Connectivity InChIKey
CID000123606,DB00918,Almotriptan,PubChem CID
CID000004463,DB00238,Nevirapine,PubChem CID
CID000005487,DB00697,Tizanidine,PubChem CID
CID000036811,DB00841,Dobutamine,PubChem CID
CID000005734,DB00909,Zonisamide,PubChem CID
CID000003463,DB01241,Gemfibrozil,PubChem CID
CID000004583,DB01165,Ofloxacin,PubChem CID
CID000000598,DB09110,Coenzyme M,PubChem CID
CID000002284,DB00181,Baclofen,PubChem CID
CID000005029,DB01129,Rabeprazole,PubChem CID
CID000003639,DB00999,Hydrochlorothiazide,PubChem CID
CID003085017,DB00658,Sevelamer,PubChem CID
CID005281104,DB00910,Paricalcitol,PubChem CID
CID000004829,DB01132,Pioglitazone,PubChem CID
CID000003385,DB00544,Fluorouracil,PubChem CID
CID000060198,DB00990,Exemestane,PubChem CID
CID000005195,DB01037,Selegiline,Connectivity InChIKey
CID000003203,DB00625,Efavirenz,Connectivity InChIKey
CID000003877,DB00709,Lamivudine,Connectivity InChIKey
CID000003954,DB00836,Loperamide,Connectivity InChIKey
CID000002153,DB00277,Theophylline,PubChem CID
CID000077993,DB00216,Eletriptan,PubChem CID
CID000002732,DB00310,Chlorthalidone,PubChem CID
CID000005155,DB00649,Stavudine,Connectivity InChIKey
CID000005152,DB00938,Salmeterol,PubChem CID
CID003468412,,,Unmatched
CID000005645,DB01586,Ursodeoxycholic acid,Connectivity InChIKey
CID000071616,DB00582,Voriconazole,PubChem CID
CID000074989,DB01117,Atovaquone,PubChem CID
CID000003676,DB00281,Lidocaine,PubChem CID
CID000003367,DB01073,Fludarabine,Connectivity InChIKey
CID000003672,DB01050,Ibuprofen,PubChem CID
CID000003734,DB08947,Iopamidol,Connectivity InChIKey
CID000003736,DB09156,Iopromide,PubChem CID
CID000003730,DB01362,Iohexol,PubChem CID
CID000002726,DB00477,Chlorpromazine,PubChem CID
CID000003393,DB00690,Flurazepam,PubChem CID
CID000004999,DB01589,Quazepam,PubChem CID
CID005329102,DB01268,Sunitinib,PubChem CID
CID000004547,DB00912,Repaglinide,Connectivity InChIKey
CID000004691,DB00715,Paroxetine,Connectivity InChIKey
CID000002471,DB00887,Bumetanide,PubChem CID
CID000003305,DB01077,Etidronic acid,PubChem CID
CID000002631,DB00493,Cefotaxime,Connectivity InChIKey
CID000003410,DB00983,Formoterol,PubChem CID
CID000003449,DB00674,Galantamine,Connectivity InChIKey
CID000002083,DB01001,Albuterol,PubChem CID
CID000001690,DB00445,Epirubicin,Connectivity InChIKey
CID000005731,DB00315,Zolmitriptan,Connectivity InChIKey
CID000004046,DB00358,Mefloquine,PubChem CID
CID000001972,DB00681,Amphotericin B,Connectivity InChIKey
CID000002171,DB01060,Amoxicillin,Connectivity InChIKey
CID000003403,DB01095,Fluvastatin,Connectivity InChIKey
CID000005746,DB00305,Mitomycin,PubChem CID
CID000005978,DB00541,Vincristine,PubChem CID
CID000000444,DB01156,Bupropion,PubChem CID
CID000153941,DB00442,Entecavir,PubChem CID
CID000004075,DB00244,Mesalazine,PubChem CID
CID000003675,DB00780,Phenelzine,PubChem CID
CID000004585,DB00334,Olanzapine,PubChem CID
CID000005078,DB00953,Rizatriptan,PubChem CID
CID000041693,DB00708,Sufentanil,PubChem CID
CID000041781,DB00214,Torasemide,PubChem CID
CID000003869,DB00598,Labetalol,PubChem CID
CID000005372,DB00864,Tacrolimus,Connectivity InChIKey
CID000003961,DB00678,Losartan,PubChem CID
CID000213039,DB01264,Darunavir,PubChem CID
CID000004991,DB00545,Pyridostigmine,PubChem CID
CID000004091,DB00331,Metformin,PubChem CID
CID000005496,DB00684,Tobramycin,Connectivity InChIKey
CID000001117,DB14546,Sulfate ion,Full InChIKey
CID000005076,DB00503,Ritonavir,Connectivity InChIKey
CID000003962,DB00227,Lovastatin,Connectivity InChIKey
CID000003355,DB01195,Flecainide,Connectivity InChIKey
CID000002719,DB00608,Chloroquine,PubChem CID
CID000002712,DB00475,Chlordiazepoxide,PubChem CID
CID000002713,DB00878,Chlorhexidine,Full InChIKey
CID000657298,DB00550,Propylthiouracil,PubChem CID
CID000091270,DB00691,Moexipril,PubChem CID
CID000004200,,,Unmatched
CID000005412,,,Unmatched
CID000042113,DB01189,Desflurane,PubChem CID
CID000003108,DB00975,Dipyridamole,PubChem CID
CID000002250,DB01076,Atorvastatin,Connectivity InChIKey
CID000170361,DB01273,Varenicline,Full InChIKey
CID000002265,DB00993,Azathioprine,PubChem CID
CID000002801,DB01242,Clomipramine,PubChem CID
CID000034312,DB00776,Oxcarbazepine,PubChem CID
CID000072054,DB00496,Darifenacin,Connectivity InChIKey
CID000002749,DB01188,Ciclopirox,PubChem CID
CID000004168,DB01233,Metoclopramide,PubChem CID
CID000002720,DB00880,Chlorothiazide,PubChem CID
CID000154059,DB01591,Solifenacin,PubChem CID
CID000005394,DB00853,Temozolomide,PubChem CID
CID000004634,DB01062,Oxybutynin,PubChem CID
CID000002764,DB00537,Ciprofloxacin,PubChem CID
CID000000942,DB00184,Nicotine,Connectivity InChIKey
CID000002160,DB00321,Amitriptyline,PubChem CID
CID000004211,DB00648,Mitotane,PubChem CID
CID000004170,DB00524,Metolazone,PubChem CID
CID000004171,DB00264,Metoprolol,PubChem CID
CID000002550,DB01197,Captopril,Connectivity InChIKey
CID000004885,DB00413,Pramipexole,Connectivity InChIKey
CID000004616,DB00842,Oxazepam,PubChem CID
CID000004614,DB00991,Oxaprozin,PubChem CID
CID000003042,DB00804,Dicyclomine,PubChem CID
CID000005212,DB00203,Sildenafil,PubChem CID
CID000004609,,,Unmatched
CID000054547,DB01416,Cefpodoxime,Connectivity InChIKey
CID000001206,DB01577,Metamfetamine,Connectivity InChIKey
CID000004603,DB00198,Oseltamivir,Connectivity InChIKey
CID005487301,,,Unmatched
CID000047725,DB00014,Goserelin,Connectivity InChIKey
CID000125017,DB06700,Desvenlafaxine,PubChem CID
CID000004138,DB00968,Methyldopa,Connectivity InChIKey
CID000005719,DB00962,Zaleplon,PubChem CID
CID000005514,DB00273,Topiramate,Connectivity InChIKey
CID000003394,DB00712,Flurbiprofen,PubChem CID
CID000002311,DB00542,Benazepril,Connectivity InChIKey
CID000003148,DB00757,Dolasetron,Connectivity InChIKey
CID000147912,DB01263,Posaconazole,Connectivity InChIKey
CID000001775,DB00252,Phenytoin,PubChem CID
CID000003767,DB00951,Isoniazid,PubChem CID
CID000002658,DB01112,Cefuroxime,Connectivity InChIKey
CID000000861,DB00279,Liothyronine,Connectivity InChIKey
CID000002462,DB01222,Budesonide,Connectivity InChIKey
CID000125889,DB00230,Pregabalin,Connectivity InChIKey
CID000104741,DB00947,Fulvestrant,Connectivity InChIKey
CID000056339,DB01320,Fosphenytoin,PubChem CID
CID000003032,DB00586,Diclofenac,Connectivity InChIKey
CID000002187,DB01217,Anastrozole,PubChem CID
CID000002267,DB00972,Azelastine,PubChem CID
CID000001546,DB00242,Cladribine,Connectivity InChIKey
CID000002249,DB00335,Atenolol,PubChem CID
CID005311082,,,Unmatched
CID000003488,DB01016,Glyburide,PubChem CID
CID003002190,DB00976,Telithromycin,PubChem CID
CID000002951,DB01219,Dantrolene,Connectivity InChIKey
CID000004740,DB00806,Pentoxifylline,PubChem CID
CID000005253,DB00489,Sotalol,PubChem CID
CID000003249,DB00153,Ergocalciferol,Connectivity InChIKey
CID000003690,DB01181,Ifosfamide,PubChem CID
CID000005572,DB00376,Trihexyphenidyl,PubChem CID
CID000002955,DB00250,Dapsone,PubChem CID
CID000002818,DB00363,Clozapine,PubChem CID
CID000003379,DB00180,Flunisolide,Connectivity InChIKey
CID000004911,DB01032,Probenecid,PubChem CID
CID000005408,DB00624,Testosterone,Connectivity InChIKey
CID000002895,DB00924,Cyclobenzaprine,PubChem CID
CID000068740,DB00399,Zoledronic acid,PubChem CID
CID000008953,DB01390,Sodium bicarbonate,Full InChIKey
CID000051263,DB00802,Alfentanil,PubChem CID
CID000002435,DB00484,Brimonidine,PubChem CID
CID000002812,DB00257,Clotrimazole,PubChem CID
CID000002524,DB00136,Calcitriol,Connectivity InChIKey
CID000003706,DB00224,Indinavir,Connectivity InChIKey
CID000060871,DB00718,Adefovir dipivoxil,PubChem CID
CID000004943,DB00818,Propofol,PubChem CID
CID000003478,DB01067,Glipizide,PubChem CID
CID000005578,DB00440,Trimethoprim,PubChem CID
CID000060815,DB00899,Remifentanil,PubChem CID
CID000005401,DB01162,Terazosin,PubChem CID
CID000003652,DB01611,Hydroxychloroquine,PubChem CID
CID000000581,DB06151,Acetylcysteine,Connectivity InChIKey
CID000068844,DB01194,Brinzolamide,PubChem CID
CID005282226,DB00287,Travoprost,PubChem CID
CID000004409,DB00461,Nabumetone,PubChem CID
CID000004812,DB01022,Phylloquinone,Connectivity InChIKey
CID000002733,DB00356,Chlorzoxazone,PubChem CID
CID000003310,DB00773,Etoposide,Connectivity InChIKey
CID000005184,DB00747,Scopolamine,Connectivity InChIKey
CID000005073,DB00734,Risperidone,PubChem CID
CID000003350,DB01216,Finasteride,Connectivity InChIKey
CID000093860,DB00188,Bortezomib,Connectivity InChIKey
CID000064147,DB01610,Valganciclovir,PubChem CID
CID000003658,DB00557,Hydroxyzine,PubChem CID
CID006918453,DB00995,Auranofin,Connectivity InChIKey
CID005493381,DB01609,Deferasirox,PubChem CID
CID000005291,DB00619,Imatinib,PubChem CID
CID000150311,DB00973,Ezetimibe,PubChem CID
CID000002978,DB00470,Dronabinol,Connectivity InChIKey
CID000003339,DB01039,Fenofibrate,PubChem CID
CID000002476,DB00921,Buprenorphine,Connectivity InChIKey
CID000002308,,,Unmatched
CID000000143,DB00650,Leucovorin,Connectivity InChIKey
CID000000937,DB00627,Niacin,Connectivity InChIKey
CID000002786,DB01190,Clindamycin,Connectivity InChIKey
CID000005402,DB00857,Terbinafine,Connectivity InChIKey
CID000057537,DB05271,Rotigotine,Connectivity InChIKey
CID000001071,DB00162,Vitamin A,Connectivity InChIKey
CID000004513,DB00585,Nizatidine,Full InChIKey
CID000005596,DB00209,Trospium,Connectivity InChIKey
CID000016231,DB00594,Amiloride,PubChem CID
CID004479097,,,Unmatched
CID000054808,DB14596,Loteprednol etabonate,Connectivity InChIKey
CID000000191,DB00194,Vidarabine,Connectivity InChIKey
CID000002477,DB00490,Buspirone,PubChem CID
CID000003066,DB00320,Dihydroergotamine,Connectivity InChIKey
CID000003008,DB00514,Dextromethorphan,Connectivity InChIKey
CID000060754,DB00225,Gadodiamide,Salt-Stripped SMILES
CID000002676,DB00439,Cerivastatin,Connectivity InChIKey
CID000151165,DB00673,Aprepitant,Connectivity InChIKey
CID000054841,DB00289,Atomoxetine,PubChem CID
CID000004675,DB01337,Pancuronium,Connectivity InChIKey
CID000003168,DB00450,Droperidol,PubChem CID
CID000003476,DB00222,Glimepiride,PubChem CID
CID000004536,DB00717,Norethisterone,Connectivity InChIKey
CID000004873,DB00761,Potassium chloride,PubChem CID
CID000004205,DB00370,Mirtazapine,PubChem CID
CID000005002,DB01224,Quetiapine,PubChem CID
CID000002474,DB00297,Bupivacaine,PubChem CID
CID000003121,DB00313,Valproic acid,PubChem CID
CID000004730,DB00417,Phenoxymethylpenicillin,Connectivity InChIKey
CID000004845,DB01291,Pirbuterol,PubChem CID
CID000003467,DB00798,Gentamicin,PubChem CID
CID000000815,DB01172,Kanamycin,Connectivity InChIKey
CID000003763,DB00753,Isoflurane,PubChem CID
CID000004236,DB00745,Modafinil,PubChem CID
CID005282044,,,Unmatched
CID000504578,,,Unmatched
CID005362070,,,Unmatched
CID000003902,DB01006,Letrozole,PubChem CID
CID000003780,DB00883,Isosorbide dinitrate,Connectivity InChIKey
CID000065027,,,Unmatched
CID005362420,DB00460,Verteporfin,PubChem CID
CID000056959,DB00243,Ranolazine,PubChem CID
CID000444013,DB00538,Gadoversetamide,PubChem CID
CID000009052,,,Unmatched
CID000002269,DB00207,Azithromycin,Connectivity InChIKey
CID000110635,DB00820,Tadalafil,PubChem CID
CID000004044,DB00784,Mefenamic acid,PubChem CID
CID000005472,DB00208,Ticlopidine,PubChem CID
CID000001971,DB01048,Abacavir,Connectivity InChIKey
CID000005426,DB01041,Thalidomide,PubChem CID
CID000003454,DB01004,Ganciclovir,PubChem CID
CID000004449,DB01149,Nefazodone,PubChem CID
CID000072467,DB00290,Bleomycin,Connectivity InChIKey
CID000005454,DB01623,Thiothixene,Connectivity InChIKey
CID000003642,DB14540,Hydrocortisone butyrate,Connectivity InChIKey
CID000001046,DB00339,Pyrazinamide,PubChem CID
CID000001983,DB00316,Acetaminophen,PubChem CID
CID000131536,DB01319,Fosamprenavir,PubChem CID
CID000004178,DB00379,Mexiletine,PubChem CID
CID000003198,DB01127,Econazole,PubChem CID
CID000003928,DB01627,Lincomycin,Connectivity InChIKey
CID000004542,DB09389,Norgestrel,PubChem CID
CID005311027,DB00905,Bimatoprost,PubChem CID
CID000002142,DB00479,Amikacin,Connectivity InChIKey
CID000508230,,,Unmatched
CID000110634,DB00862,Vardenafil,PubChem CID
CID000024486,,,Unmatched
CID000004674,DB00282,Pamidronic acid,PubChem CID
CID000004828,DB00960,Pindolol,PubChem CID
CID000004428,DB00704,Naltrexone,Connectivity InChIKey
CID000004064,DB00371,Meprobamate,PubChem CID
CID000047320,DB00732,Atracurium besylate,PubChem CID
CID000071158,DB00659,Acamprosate,PubChem CID
CID000002949,DB01406,Danazol,Connectivity InChIKey
CID000001978,DB01193,Acebutolol,PubChem CID
CID000000158,DB00917,Dinoprostone,Connectivity InChIKey
CID000005771,,,Unmatched
CID000003461,DB00441,Gemcitabine,Connectivity InChIKey
CID000004993,DB00205,Pyrimethamine,PubChem CID
CID000054786,DB00374,Treprostinil,Connectivity InChIKey
CID000000564,DB00513,Aminocaproic acid,PubChem CID
CID000003724,DB01249,Iodixanol,PubChem CID
CID000176168,DB06792,Lanthanum carbonate,Salt-Stripped SMILES
CID000004095,DB00333,Methadone,PubChem CID
CID000004440,DB00952,Naratriptan,PubChem CID
CID000060184,DB00790,Perindopril,Connectivity InChIKey
CID000024011,,,Unmatched
CID000148211,DB00377,Palonosetron,Connectivity InChIKey
CID000000085,DB00583,Levocarnitine,Connectivity InChIKey
CID000003702,DB00808,Indapamide,PubChem CID
CID000013342,DB00570,Vinblastine,PubChem CID
CID000004834,DB00319,Piperacillin,Connectivity InChIKey
CID000005466,DB00906,Tiagabine,Connectivity InChIKey
CID000002099,DB00969,Alosetron,PubChem CID
CID000123631,DB00317,Gefitinib,PubChem CID
CID000002375,DB01128,Bicalutamide,PubChem CID
CID000003117,DB00822,Disulfiram,PubChem CID
CID000002646,DB01150,Cefprozil,Connectivity InChIKey
CID000002512,DB00248,Cabergoline,Connectivity InChIKey
CID000003114,DB00280,Disopyramide,PubChem CID
CID000003414,DB00529,Foscarnet,Connectivity InChIKey
CID000003059,DB00861,Diflunisal,PubChem CID
CID000148192,DB01072,Atazanavir,PubChem CID
CID003062316,DB01254,Dasatinib,PubChem CID
