drug_id,node_index
CID000002951,220
CID000004740,221
CID000002092,222
CID000005253,223
CID000003249,224
CID000003690,225
CID000003883,226
CID000004510,227
CID000002678,228
CID000002818,229
CID000065999,230
CID000002462,231
CID000002895,232
CID000008953,233
CID000002435,234
CID000003325,235
CID000003003,236
CID000003379,237
CID000002812,238
CID000003516,239
CID000002524,240
CID000003706,241
CID000060865,242
CID000003478,243
CID000003367,244
CID000005656,245
CID000002803,246
CID000005401,247
CID000062924,248
CID000004943,249
CID000000581,250
CID000004052,251
CID000068844,252
CID000005732,253
CID000004409,254
CID000004812,255
CID000003310,256
CID000005073,257
CID000003510,258
CID000125889,259
CID000003350,260
CID000003962,261
CID000004885,262
CID000003658,263
CID000004189,264
CID000005291,265
CID000002978,266
CID000003339,267
CID000002476,268
CID000003652,269
CID000072054,270
CID000002308,271
CID000000143,272
CID000002786,273
CID000003676,274
CID000001071,275
CID000004513,276
CID000016231,277
CID000004894,278
CID000003393,279
CID000005735,280
CID000003154,281
CID000000191,282
CID000002477,283
CID000006691,284
CID000000937,285
CID000004723,286
CID000002955,287
CID000002160,288
CID000003008,289
CID000003158,290
CID000003157,291
CID000003324,292
CID000004171,293
CID000004583,294
CID000005538,295
CID000003168,296
CID000003476,297
CID000004536,298
CID000002474,299
CID000002171,300
CID000004200,301
CID000003736,302
CID000005487,303
CID000000815,304
CID000005544,305
CID000005496,306
CID000005672,307
CID000003403,308
CID000004236,309
CID000004614,310
CID000004168,311
CID000003902,312
CID000003780,313
CID000005402,314
CID000005002,315
CID000004463,316
CID000001971,317
CID000005426,318
CID000154059,319
CID000004873,320
CID000002269,321
CID000005064,322
CID000004419,323
CID000004666,324
CID000003642,325
CID000001046,326
CID000054374,327
CID000001983,328
CID000002676,329
CID000003198,330
CID000003928,331
CID000068740,332
CID000005651,333
CID000002142,334
CID000004603,335
CID000130881,336
CID000003121,337
CID000004428,338
CID000060852,339
CID000002949,340
CID000001978,341
CID000000158,342
CID000003869,343
CID000034312,344
CID000000564,345
CID000156419,346
CID000027686,347
CID000002713,348
CID000000085,349
CID000077993,350
CID000003702,351
CID000005184,352
CID000005466,353
CID000004178,354
CID000002375,355
CID000003117,356
CID000005596,357
CID000003763,358
CID000060835,359
CID000002646,360
CID000004499,361
CID000002512,362
CID000003114,363
CID000005650,364
CID000003414,365
CID000002099,366
CID000003454,367
CID000003675,368
CID000004058,369
CID000004539,370
CID000110635,371
CID000004075,372
CID000004991,373
CID000004044,374
CID000002995,375
CID000060184,376
CID000004674,377
CID000004205,378
CID000005095,379
CID000104865,380
CID000002141,381
CID000004771,382
CID000060877,383
CID000002130,384
CID000152945,385
CID000071329,386
CID000060843,387
CID000002519,388
CID000005029,389
CID000005408,390
CID000005978,391
CID000150311,392
CID000003040,393
CID000064147,394
CID000005381,395
CID000004064,396
CID000002712,397
CID000024486,398
CID000060164,399
CID000002478,400
CID000003278,401
CID000003373,402
CID000002622,403
CID000004856,404
CID000032797,405
CID000002610,406
CID000004819,407
CID000005453,408
CID000003914,409
CID000003784,410
CID000014888,411
CID000002708,412
CID000170361,413
CID000005734,414
CID000004911,415
CID000004449,416
CID000003066,417
CID000087177,418
CID000000119,419
CID000054688,420
CID000005376,421
CID000004053,422
CID000003964,423
CID000004425,424
CID000002274,425
CID000004616,426
CID000005525,427
CID000005155,428
CID000004675,429
CID000010631,430
CID000004845,431
CID000003734,432
CID000002973,433
CID000003461,434
CID000005297,435
CID000123620,436
CID000054808,437
CID000013342,438
CID000002732,439
CID000003827,440
CID000148192,441
CID000003372,442
CID000048175,443
CID000004748,444
CID000002637,445
CID000054841,446
CID000060953,447
CID000047320,448
CID000003394,449
CID000002177,450
CID000005035,451
CID000003467,452
CID000002019,453
CID000005472,454
CID000002733,455
CID000004730,456
CID000056959,457
CID000004828,458
CID000005195,459
CID000003821,460
CID000036339,461
CID004659568,462
CID005282226,463
CID000005394,464
CID000005719,465
CID000003494,466
CID000004607,467
CID000160051,468
CID000074989,469
CID000148211,470
CID000005578,471
CID000071616,472
CID000005572,473
CID000027991,474
CID000003059,475
CID000005215,476
CID000077999,477
CID000124087,478
CID000002283,479
CID000122316,480
CID003468412,481
CID000004473,482
CID000047725,483
CID000028112,484
CID000004440,485
CID000003741,486
CID000004095,487
CID000004497,488
CID000125017,489
CID000004451,490
CID000024011,491
CID000004542,492
CID000003382,493
CID000019090,494
CID004475485,495
CID000060854,496
CID000667490,497
CID000012536,498
CID000060754,499
CID000005584,500
CID000119182,501
CID003081884,502
CID000004195,503
CID000002800,504
CID000000298,505
CID000197712,506
CID000004506,507
CID000003724,508
CID000072467,509
CID000119607,510
CID000041317,511
CID000009052,512
CID000004745,513
CID000004834,514
CID000002369,515
CID000060696,516
CID003002190,517
CID000005210,518
CID000005878,519
CID000005352,520
CID000009433,521
CID000002215,522
CID000003291,523
CID000060815,524
CID000004932,525
CID000002675,526
CID000004993,527
CID000005771,528
CID000153941,529
CID000003397,530
CID005311297,531
CID000093860,532
CID000057537,533
CID000001134,534
CID000005746,535
CID000004727,536
CID000060612,537
CID000042113,538
CID005282044,539
CID000041774,540
CID000071158,541
CID000056339,542
CID000004739,543
CID000002727,544
CID000060198,545
CID000002725,546
CID000004893,547
CID000002673,548
CID000060787,549
CID000005486,550
CID000039860,551
CID000072938,552
CID000005454,553
CID000002719,554
CID000443871,555
CID000005593,556
CID000004140,557
CID000065027,558
CID000003730,559
CID000123631,560
CID000036811,561
CID000054786,562
CID000091270,563
CID000444013,564
CID000123606,565
CID000110634,566
CID000150310,567
CID000005515,568
CID000005530,569
CID000051263,570
CID004183806,571
CID000504578,572
CID005311039,573
CID000071273,574
CID000213039,575
CID000216326,576
CID000216239,577
CID000002170,578
CID000060871,579
CID000002370,580
CID000115237,581
CID000131536,582
CID000054547,583
CID000057469,584
CID000444033,585
CID000657298,586
CID000005721,587
CID000176168,588
CID005311048,589
CID000176870,590
CID000004645,591
CID000003637,592
CID000005070,593
CID000151165,594
CID000104741,595
CID000002349,596
CID000150610,597
CID003062316,598
CID000147912,599
CID005311181,600
CID000004913,601
CID000077992,602
CID000508230,603
CID005281007,604
CID000002551,605
CID001349907,606
CID005311027,607
CID000004011,608
CID000002232,609
CID000005052,610
CID000163742,611
CID000002182,612
CID000051634,613
CID000145068,614
CID005329102,615
CID005381226,616
CID006398525,617
CID005493444,618
CID005353980,619
CID005481350,620
CID006447131,621
CID006398970,622
CID005281104,623
CID005487301,624
CID005311082,625
CID006918453,626
CID005493381,627
CID004479097,628
CID005362070,629
CID005362420,630
CID006436173,631
CID000003384,632
CID006435110,633
CID004659569,634
CID000082146,635
CID000002266,636
CID005473385,637
CID000003562,638
CID000012620,639
CID000040976,640
CID000003381,641
CID003086258,642
CID009571074,643
CID000005482,644
